event_id|container_id|port|warehouse_id|supplier_name|product_category|container_type|arrival_date|customs_release_date|warehouse_eta|actual_warehouse_arrival|declared_value_usd|container_weight_kg|inspection_status|transport_mode|processed_at|source_file|customs_clearance_days|warehouse_delays_days|value_band|weight_band|exception_types|risk_score|risk_level
IMP-VAN-001|CONT-VAN-9001|Vancouver|WH_AB_01|Pacific Components Ltd|Electronics|Dry|2026-06-20|2026-06-22|2026-06-24|2026-06-25|45000.5|14500.0|Released|Rail|||2|1|Medium_value|Medium|Delivery Delay|10|Low risk
IMP-VAN-002|CONT-VAN-9002|Vancouver|WH_BC_02|Maple Auto Imports|Auto Parts|Dry|2026-06-20|2026-06-21|2026-06-23|2026-06-23|62000.0|22000.0|Released|Truck|||1|0|High_value|Heavy|No Exception|25|Low risk
IMP-VAN-003|CONT-VAN-9003|Vancouver|WH_AB_03|Northstar Apparel Group|Apparel|Dry|2026-06-21|2026-06-23|2026-06-24|2026-06-27|18000.0|8500.0|Held|Intermodal|||2|3|Medium_value|Light|Customs Hold|45|Medium Risk
IMP-VAN-004|CONT-VAN-9004|Vancouver|WH_SK_01|Prairie Food Inputs|Food Ingredients|Reefer|2026-06-21|2026-06-22|2026-06-25|2026-06-26|28000.0|18500.0|Inspection Required|Rail|||1|1|Medium_value|Medium|Customs Hold|35|Medium Risk
IMP-VAN-005|CONT-VAN-9005|Vancouver|WH_AB_04|MediNorth Supplies|Medical Supplies|Dry|2026-06-22|2026-06-22|2026-06-24|2026-06-24|76000.0|9500.0|Released|Truck|||0|0|High_value|Light|No Exception|15|Low risk
IMP-VAN-006|CONT-VAN-9006|Vancouver|WH_BC_04|Titan Industrial Machines|Industrial Equipment|Flat Rack|2026-06-22|2026-06-24|2026-06-26|2026-06-30|93000.0|26500.0|Inspection Required|Rail|||2|4|High_value|Heavy|Customs Hold|70|High Risk
IMP-VAN-007|CONT-VAN-9007|Vancouver|WH_AB_02|Coastal Electronics Hub|Electronics|Dry|2026-06-23|2026-06-24|2026-06-25|2026-06-25|12000.0|7600.0|Released|Truck|||1|0|Low_value|Light|No Exception|0|No Risk
IMP-VAN-008|CONT-VAN-9008|Vancouver|WH_BC_01|Metro Apparel Works|Apparel|Dry|2026-06-23|2026-06-24|2026-06-26|2026-06-26|9000.0|6200.0|Released|Intermodal|||1|0|Low_value|Light|No Exception|0|No Risk
IMP-VAN-009|CONT-VAN-9009|Vancouver|WH_AB_05|WestMed Devices|Medical Supplies|Dry|2026-06-24|2026-06-25|2026-06-26|2026-06-27|54000.0|10500.0|Held|Rail|||1|1|High_value|Medium|Customs Hold|50|Medium Risk
IMP-VAN-010|CONT-VAN-9010|Vancouver|WH_SK_02|Global Grain Additives|Food Ingredients|Reefer|2026-06-24|2026-06-24|2026-06-25|2026-06-25|34000.0|21000.0|Released|Truck|||0|0|Medium_value|Heavy|No Exception|10|Low risk
